raj2000,dej2000,objid,fuvmag,e_fuvmag,nuvmag,e_nuvmag,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,target_separation (deg)
210.193598,-30.583624,6370950946302723996,21.3142,0.3708,14.6672,0.0096,WASP-131,210.19352012212000,-30.58356876919,5.1765,10.24,-9.205,-19.39,8.68640042267482E-05
210.637904,-10.023652,6371689884688583351,,,19.7615,0.1254,EPIC 212624936,210.63775372462700,-10.023748978661100,1.7511,-31.245,14.812,-53.688,1.76927664947762E-04
210.637904,-10.023652,6370950962408852617,,,19.7615,0.1254,EPIC 212624936,210.63775372462700,-10.023748978661100,1.7511,-31.245,14.812,-53.688,1.76927664947762E-04
211.013517,-30.013214,6370950962408852617,,,21.869,0.4272,TOI-4559,211.01335244990000,-30.013065964240000,31.6386,37.267,-246.011,0.0,2.05467173442548E-04
211.094156,46.519449,6370986153223393555,,,18.3353,0.0506,TOI-1798,211.09410701017000,46.51939907519,8.7796,-27.202,-27.069,25.6144,6.02401247905412E-05
211.094156,46.519449,6370986153223393555,,,18.3353,0.0506,TOI-1798,211.09410701017000,46.51939907519,8.7796,-27.202,-27.069,25.6144,6.02401247905412E-05
211.459805,16.992662,6374961986195688766,,,19.3946,0.0719,TOI-1853,211.45955261501,16.99242275359,6.0221,-45.706,-12.183,-26.64,3.39848003093383E-04
213.079416,74.411719,6374750949756372387,,,20.5844,0.1565,TOI-1782,213.0800431901950,74.41162009560200,10.5329,-79.337,39.668,4.04,1.95417740539543E-04
213.079416,74.411719,6371021360146155320,,,20.5844,0.1565,TOI-1782,213.0800431901950,74.41162009560200,10.5329,-79.337,39.668,4.04,1.95417740539543E-04
213.144054,47.014834,6374328745881242345,,,20.4142,0.1305,HAT-P-44,213.14404753469,47.01473466156000,2.8705,-29.621,11.127,-34.1114,9.94361961373132E-05
213.156552,4.060059,6371021359070318529,,,18.9834,0.0487,HAT-P-26,213.1563879597130,4.060032380532780,6.9985,37.735,-142.816,14.58,1.6577972874606E-04
214.059648,-19.54236,6371021359070318529,,,16.1136,0.0207,WASP-185,214.05964034032,-19.54228018332,3.5646,-13.42,-6.045,23.77,8.01424251338397E-05
214.120227,58.390359,6385939532835980671,,,16.7867,0.0193,TOI-1273,214.12055091360000,58.39044488808000,5.6585,37.2,-44.47,-43.56,1.90261455469479E-04
214.55474,82.193905,6385763591648186289,,,19.0011,0.0531,TOI-1180,214.55309360914,82.19404296338,13.8891,84.568,-64.759,-36.2,2.62747814359779E-04
214.682972,-20.275433,6372991681759807163,,,17.256,0.0355,WASP-16,214.68301042246,-20.275512118380000,5.1912,0.088,17.35,-1.1,8.69409133947398E-05
215.801564,24.076579,6372639802605437981,,,18.0175,0.0281,TOI-3912,215.80145909718700,24.076565423850800,2.1489,7.746,-0.364,-7.86,9.67337929147475E-05
216.523984,59.444164,6370915837094658054,18.4456,0.0524,13.8483,0.0039,KELT-18,216.52398803175000,59.44424714756000,3.1607,-19.27,6.124,-10.83,8.31728188541624E-05
216.923869,41.95343,6370915837094658054,,,17.3809,0.0327,TOI-1416,216.92402333318,41.95342206585,18.1671,-92.254,-101.233,1.02,1.15049717072622E-04
217.925921,83.372804,6384919194635341467,,,17.1203,0.0214,TOI-4087,217.92639509325000,83.37266109557,3.2648,-16.514,10.456,-13.91,1.53020955460215E-04
218.276557,21.895021,6374258284795269010,19.1131,0.1221,13.5822,0.0065,WASP-14,218.27648820931000,21.894717054410000,6.2205,29.428,-6.864,-4.34,3.10575331566438E-04
222.767597,5.947439,6373378704484075864,,,19.0311,0.0837,HAT-P-27,222.76744599988,5.94737459066,4.9528,-28.61,-2.774,-15.901,1.63416043770451E-04
223.092952,70.476479,6373554639231519082,,,17.4738,0.036,TOI-1294,223.09288638360000,70.47656792682,3.0144,-19.046,-2.48,-94.62,9.15906133695859E-05
223.35922,68.859606,6373484235051763690,,,18.2275,0.0536,TOI-5238,223.35897904475000,68.85955109985,3.4241,-7.373,-18.377,-10.16,1.02790713112058E-04
