obj_id,ra,dec,g_mean_psf_mag,g_mean_psf_mag_error,r_mean_psf_mag,r_mean_psf_mag_error,i_mean_psf_mag,i_mean_psf_mag_error,z_mean_psf_mag,z_mean_psf_mag_error,y_mean_psf_mag,y_mean_psf_mag_error,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,target_separation (deg)
108760116996639271,11.69965,0.64062554,13.3920001983643,,12.9680004119873,,12.7950000762939,,12.7220001220703,,12.7012996673584,0.00481599988415837,K2-207,11.699702619310000,0.6408058557,2.7224,-12.667,-43.588,-3.1383,1.87892058999804E-04
115040126139626034,12.614058,5.871263,14.9795999526978,0.00467099994421005,14.2981004714966,0.00330600002780557,14.0317001342773,0.00300300004892051,13.9010000228882,0.00260000000707805,13.8093996047974,0.00468100002035499,K2-385,12.613791891510800,5.871360390453060,2.445,65.454,-24.086,8.296,2.81621639547291E-04
116210128095356208,12.809619,6.8464355,13.1540002822876,,12.7480001449585,,12.5830001831055,,12.5050001144409,,12.4654998779297,0.00609300006181002,K2-218,12.80966269841,6.8464682118000000,2.5703,-11.469,-8.26,0.1491,5.43482459709335E-05
123340128207586239,12.820941,12.788105,11.7012996673584,0.195234000682831,11.3022003173828,0.162198007106781,10.815899848938,0.136574000120163,11.5359001159668,0.00263800006359816,11.6300001144409,0.071604996919632,TOI-4638,12.82063937443,12.78804407271,5.8529,5.283,-13.543,-20.88,3.00362573317473E-04
112210131401910413,13.140199,3.508299,,,16.8962001800537,0.00532299978658557,14.8169002532959,0.485152006149292,15.1585998535156,0.00270200008526444,,,K2-213,13.140321102700000,3.50775912841,2.507,18.242,2.568,-6.373,5.53630834309993E-04
119630131943242006,13.194369,9.692917,14.8351001739502,0.00248700007796288,14.0867004394531,0.00425599981099367,13.8201999664307,0.00327600003220141,13.6779003143311,0.0011909999884665,13.5950002670288,0.005107999779284,K2-283,13.194415993880000,9.69292573844,2.448,-11.003,-1.781,-5.682,4.68582747495748E-05
166360141143155549,14.11424,48.63752,,,11.9721002578735,,16.0104999542236,0.00889899954199791,10.5116996765137,0.00100000004749745,10.7849998474121,0.00100000004749745,TOI-1472,14.113587322450000,48.63757545609,8.1964,103.399,-13.622,-13.53,4.34672566603697E-04
84270148264485048,14.826529,-19.771091,11.7049999237061,0.0,,,,,,,13.3731002807617,0.00233000004664063,TOI-2420,14.826607853630800,-19.77124418076280,2.2495,45.023,18.561,17.74,1.69978930727956E-04
108510152175471686,15.217598,0.42597216,12.6300001144409,,12.2720003128052,,12.1560001373291,,12.1280002593994,,12.086799621582,0.00549500016495585,K2-205,15.217487597560000,0.42600218861000000,2.4944,23.99,-8.409,17.9492,1.14372226447657E-04
169560156550415476,15.654928,51.304005,,,,,13.2515001296997,0.00100000004749745,,,13.9962997436523,0.00178399996366352,TOI-3693,15.654441704170000,51.30398351217000,5.6876,-6.962,-21.307,3.49,3.0489105231362E-04
