obj_id,ra,dec,g_mean_psf_mag,g_mean_psf_mag_error,r_mean_psf_mag,r_mean_psf_mag_error,i_mean_psf_mag,i_mean_psf_mag_error,z_mean_psf_mag,z_mean_psf_mag_error,y_mean_psf_mag,y_mean_psf_mag_error,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,target_separation (deg)
184501962197464936,196.21992,63.753304,12.2587003707886,0.00100000004749745,,,10.1157999038696,0.0440969988703728,10.0303001403809,0.0317349992692471,9.81688022613525,0.0217940006405115,TOI-1823,196.22035462129000,63.75379077167,13.9534,-65.168,-123.031,-9.1,5.22987690007174E-04
184501962201656319,196.22012,63.754642,,,12.6454000473022,0.117145001888275,,,,,,,TOI-1823,196.22035462129000,63.75379077167,13.9534,-65.168,-123.031,-9.1,8.57836500392603E-04
184501962203984916,196.22061,63.75365,,,13.4764003753662,0.00111599999945611,,,9.69567966461182,0.248495995998383,11.3424997329712,0.0,TOI-1823,196.22035462129000,63.75379077167,13.9534,-65.168,-123.031,-9.1,1.80393812603278E-04
184501962214915009,196.22177,63.75378,,,,,16.141300201416,0.00341799994930625,14.9758996963501,0.00216599996201694,,,TOI-1823,196.22035462129000,63.75379077167,13.9534,-65.168,-123.031,-9.1,6.26557021409997E-04
192921976807413330,197.68063,70.76882,,,,,14.3873996734619,0.00145700003486127,16.9258003234863,0.00889599975198507,,,TOI-1173,197.68234227243,70.76840953485,7.5664,57.787,-92.393,-45.66,6.97616039742022E-04
192921976829892570,197.68323,70.7682,11.2166004180908,0.00100000004749745,10.8569002151489,0.0210810005664825,10.7192001342773,0.0338490009307861,10.677300453186,0.0862540006637573,10.5616998672485,0.00100000004749745,TOI-1173,197.68234227243,70.76840953485,7.5664,57.787,-92.393,-45.66,3.56906552757699E-04
182091977304603895,197.7306,61.74436,,,,,12.1999998092651,0.00100000004749745,,,,,TOI-1824,197.73118708886000,61.74477861727000,16.8108,4.571,16.393,9.88,4.99325147634334E-04
182091977309233243,197.7309,61.743816,,,,,13.0534000396729,0.253769010305405,,,,,TOI-1824,197.73118708886000,61.74477861727000,16.8108,4.571,16.393,9.88,9.72059215842637E-04
187001979961441214,197.99599,65.8337,14.665599822998,0.00141000002622604,12.9322004318237,0.00100000004749745,11.563099861145,0.0520289987325668,11.3870000839233,0.00100000004749745,12.3415002822876,0.00101100001484156,TOI-1266,197.99816682202000,65.83380640155,27.74,-150.557,-25.339,-41.88,8.98488914850608E-04
187001979961441214,197.99599,65.8337,14.665599822998,0.00141000002622604,12.9322004318237,0.00100000004749745,11.563099861145,0.0520289987325668,11.3870000839233,0.00100000004749745,12.3415002822876,0.00101100001484156,TOI-1266,197.99816682202000,65.83380640155,27.74,-150.557,-25.339,-41.88,8.98488914850608E-04
187001979968921237,197.99664,65.8337,13.6455001831055,0.00495499977841973,12.5993003845215,0.00100000004749745,11.5370998382568,0.00839999970048666,11.1990003585815,0.00100000004749745,10.836799621582,0.00100000004749745,TOI-1266,197.99816682202000,65.83380640155,27.74,-150.557,-25.339,-41.88,6.32465337715291E-04
